N,Name,MF,SMILES,tR
0,C0DEA,C5H11NO3,C(=O)N(CCO)CCO,1.29
1,C1DEA,C6H13NO3,CC(=O)N(CCO)CCO,1.35
2,C2DEA,C7H15NO3,CCC(=O)N(CCO)CCO,2.51
3,C3DEA,C8H17NO3,CCCC(=O)N(CCO)CCO,3.39
4,C4DEA,C9H19NO3,CCCCC(=O)N(CCO)CCO,4.38
5,C5DEA,C10H21NO3,CCCCCC(=O)N(CCO)CCO,5.46
6,C6DEA,C11H23NO3,CCCCCCC(=O)N(CCO)CCO,6.68
7,C7DEA,C12H25NO3,CCCCCCCC(=O)N(CCO)CCO,8.01
8,C8DEA,C13H27NO3,CCCCCCCCC(=O)N(CCO)CCO,9.08
9,C9DEA,C14H29NO3,CCCCCCCCCC(=O)N(CCO)CCO,10.12
10,C10DEA,C15H31NO3,CCCCCCCCCCC(=O)N(CCO)CCO,10.94
11,C11DEA,C16H33NO3,CCCCCCCCCCCC(=O)N(CCO)CCO,11.71
12,C12DEA,C17H35NO3,CCCCCCCCCCCCC(=O)N(CCO)CCO,12.36
13,C13DEA,C18H37NO3,CCCCCCCCCCCCCC(=O)N(CCO)CCO,12.95
14,C14DEA,C19H39NO3,CCCCCCCCCCCCCCC(=O)N(CCO)CCO,13.39
15,C15DEA,C20H41NO3,CCCCCCCCCCCCCCCC(=O)N(CCO)CCO,13.86
16,C16DEA,C21H43NO3,CCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,14.16
17,C17DEA,C22H45NO3,CCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,14.51
18,C18DEA,C23H47NO3,CCCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,14.74
19,C19DEA,C24H49NO3,CCCCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,14.99
20,C20DEA,C25H51NO3,CCCCCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,15.34
21,C21DEA,C26H53NO3,CCCCCCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,15.51
22,C22DEA,C27H55NO3,CCCCCCCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,15.79
23,C23DEA,C28H57NO3,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,16.13
